region_id,region_type,zipcode,state,metro_area,city,county
84565,zip,60536, IL, Chicago-Naperville-Elgin, Kendall County, Millbrook
84398,zip,60147, IL, Chicago-Naperville-Elgin, Kane County, Geneva
84342,zip,60087,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Waukegan,Lake County
84395,zip,60144, IL, Chicago-Naperville-Elgin, Kane County, Kaneville
84553,zip,60519, IL, Chicago-Naperville-Elgin, DuPage County, Eola
78866,zip,47964, IN, Chicago-Naperville-Elgin, Newton County, Mount Ayr
81257,zip,53159, WI, Chicago-Naperville-Elgin, Kenosha County, Powers Lake
84578,zip,60550,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Shabbona,DeKalb County
78082,zip,46302, IN, Chicago-Naperville-Elgin, Porter County, Boone Grove
84510,zip,60459,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Burbank,Cook County
84567,zip,60538,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Oswego,Kendall County
399602,zip,60124,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Elgin,Kane County
84623,zip,60621,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,Cook County
81244,zip,53144,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Somers,Kenosha County
84406,zip,60156,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake in the Hills,McHenry County
84346,zip,60091,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Wilmette,Cook County
84272,zip,60002,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Antioch,Lake County
78084,zip,46304,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Chesterton,Porter County
399607,zip,60487,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Tinley Park,Cook County
84503,zip,60452,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Oak Forest,Cook County
84688,zip,60706,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Harwood Heights,Cook County
78089,zip,46312,IN,"Chicago-Naperville-Elgin, IL-IN-WI",East Chicago,Lake County
84319,zip,60061,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Vernon Hills,Lake County
84421,zip,60175,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Campton Hills,Kane County
84315,zip,60053,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Morton Grove,Cook County
84490,zip,60439,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lemont,Cook County
84409,zip,60160,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Melrose Park,Cook County
84499,zip,60448,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Mokena,Will County
84518,zip,60467,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Orland Park,Cook County
84282,zip,60013,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cary,McHenry County
