region_id,region_type,region,Zipcode,State,Metro Area,City,County
89943,zip,"73118;OK;Oklahoma City, OK;Oklahoma City;Oklahoma County",73118,OK,"Oklahoma City, OK",Oklahoma City,Oklahoma County
71163,zip,30513;GA;nan;Blue Ridge;Fannin County,30513,GA,nan,Blue Ridge,Fannin County
77632,zip,"45377;OH;Dayton-Kettering, OH;Vandalia;Montgomery County",45377,OH,"Dayton-Kettering, OH",Vandalia,Montgomery County
68939,zip,"26241;WV;Elkins, WV;Elkins;Randolph County",26241,WV,"Elkins, WV",Elkins,Randolph County
77500,zip,"45209;OH;Cincinnati, OH-KY-IN;Cincinnati;Hamilton County",45209,OH,"Cincinnati, OH-KY-IN",Cincinnati,Hamilton County
60791,zip,"7751;NJ;New York-Newark-Jersey City, NY-NJ-PA;Morganville;Monmouth County",07751,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Morganville,Monmouth County
70155,zip,"28711;NC;Asheville, NC;Black Mountain;Buncombe County",28711,NC,"Asheville, NC",Black Mountain,Buncombe County
61072,zip,"8361;NJ;Vineland-Bridgeton, NJ;Vineland;Cumberland County",08361,NJ,"Vineland-Bridgeton, NJ",Vineland,Cumberland County
91651,zip,"77002;TX;Houston-The Woodlands-Sugar Land, TX;Houston;Harris County",77002,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,Harris County
65696,zip,"19015;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD;Brookhaven;Delaware County",19015,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Brookhaven,Delaware County
94228,zip,"83617;ID;Boise City, ID;Emmett;Gem County",83617,ID,"Boise City, ID",Emmett,Gem County
100078,zip,"99037;WA;Spokane-Spokane Valley, WA;Spokane Valley;Spokane County",99037,WA,"Spokane-Spokane Valley, WA",Spokane Valley,Spokane County
67773,zip,"23605;VA;Virginia Beach-Norfolk-Newport News, VA-NC;Newport News;Newport News City",23605,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Newport News,Newport News City
72372,zip,"33034;FL;Miami-Fort Lauderdale-Pompano Beach, FL;Florida City;Miami-Dade County",33034,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Florida City,Miami-Dade County
90936,zip,"75474;TX;Dallas-Fort Worth-Arlington, TX;nan;Hunt County",75474,TX,"Dallas-Fort Worth-Arlington, TX",nan,Hunt County
87882,zip,"68136;NE;Omaha-Council Bluffs, NE-IA;Omaha;Sarpy County",68136,NE,"Omaha-Council Bluffs, NE-IA",Omaha,Sarpy County
59840,zip,"5201;VT;Bennington, VT;Bennington;Bennington County",05201,VT,"Bennington, VT",Bennington,Bennington County
98558,zip,"96022;CA;Red Bluff, CA;Cottonwood;Tehama County",96022,CA,"Red Bluff, CA",Cottonwood,Tehama County
95551,zip,"88061;NM;Silver City, NM;Silver City;Grant County",88061,NM,"Silver City, NM",Silver City,Grant County
96957,zip,"92625;CA;Los Angeles-Long Beach-Anaheim, CA;Newport Beach;Orange County",92625,CA,"Los Angeles-Long Beach-Anaheim, CA",Newport Beach,Orange County
66100,zip,"19947;DE;Salisbury, MD-DE;Georgetown;Sussex County",19947,DE,"Salisbury, MD-DE",Georgetown,Sussex County
60298,zip,"6415;CT;Norwich-New London, CT;Colchester;New London County",06415,CT,"Norwich-New London, CT",Colchester,New London County
91832,zip,"77302;TX;Houston-The Woodlands-Sugar Land, TX;Conroe;Montgomery County",77302,TX,"Houston-The Woodlands-Sugar Land, TX",Conroe,Montgomery County
58386,zip,"1501;MA;Worcester, MA-CT;Auburn;Worcester County",01501,MA,"Worcester, MA-CT",Auburn,Worcester County
81389,zip,"53566;WI;Madison, WI;Monroe;Green County",53566,WI,"Madison, WI",Monroe,Green County
90714,zip,"75134;TX;Dallas-Fort Worth-Arlington, TX;Lancaster;Dallas County",75134,TX,"Dallas-Fort Worth-Arlington, TX",Lancaster,Dallas County
64444,zip,"16105;PA;New Castle, PA;New Castle;Lawrence County",16105,PA,"New Castle, PA",New Castle,Lawrence County
89132,zip,"71602;AR;Pine Bluff, AR;White Hall;Jefferson County",71602,AR,"Pine Bluff, AR",White Hall,Jefferson County
70298,zip,"29078;SC;Columbia, SC;Lugoff;Kershaw County",29078,SC,"Columbia, SC",Lugoff,Kershaw County
80793,zip,"52002;IA;Dubuque, IA;Dubuque;Dubuque County",52002,IA,"Dubuque, IA",Dubuque,Dubuque County
96395,zip,"91381;CA;Los Angeles-Long Beach-Anaheim, CA;Stevenson Ranch;Los Angeles County",91381,CA,"Los Angeles-Long Beach-Anaheim, CA",Stevenson Ranch,Los Angeles County
87427,zip,"67042;KS;Wichita, KS;El Dorado;Butler County",67042,KS,"Wichita, KS",El Dorado,Butler County
66781,zip,"21108;MD;Baltimore-Columbia-Towson, MD;nan;Anne Arundel County",21108,MD,"Baltimore-Columbia-Towson, MD",nan,Anne Arundel County
73176,zip,"34690;FL;Tampa-St. Petersburg-Clearwater, FL;Holiday;Pasco County",34690,FL,"Tampa-St. Petersburg-Clearwater, FL",Holiday,Pasco County
60654,zip,"7405;NJ;New York-Newark-Jersey City, NY-NJ-PA;Kinnelon;Morris County",07405,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Kinnelon,Morris County
96136,zip,"90304;CA;Los Angeles-Long Beach-Anaheim, CA;Inglewood;Los Angeles County",90304,CA,"Los Angeles-Long Beach-Anaheim, CA",Inglewood,Los Angeles County
69625,zip,"27948;NC;Kill Devil Hills, NC;nan;Dare County",27948,NC,"Kill Devil Hills, NC",nan,Dare County
64675,zip,"16648;PA;Altoona, PA;Hollidaysburg;Blair County",16648,PA,"Altoona, PA",Hollidaysburg,Blair County
72291,zip,"32903;FL;Palm Bay-Melbourne-Titusville, FL;nan;Brevard County",32903,FL,"Palm Bay-Melbourne-Titusville, FL",nan,Brevard County
74377,zip,"37416;TN;Chattanooga, TN-GA;Chattanooga;Hamilton County",37416,TN,"Chattanooga, TN-GA",Chattanooga,Hamilton County
69843,zip,28307; NC; Fayetteville; Cumberland County; Fort Bragg,28307, NC, Fayetteville, Cumberland County, Fort Bragg
60170,zip,"6119;CT;Hartford-East Hartford-Middletown, CT;West Hartford;Hartford County",06119,CT,"Hartford-East Hartford-Middletown, CT",West Hartford,Hartford County
64616,zip,"16502;PA;Erie, PA;Erie;Erie County",16502,PA,"Erie, PA",Erie,Erie County
79052,zip,"48193;MI;Detroit-Warren-Dearborn, MI;Riverview;Wayne County",48193,MI,"Detroit-Warren-Dearborn, MI",Riverview,Wayne County
91436,zip,"76501;TX;Killeen-Temple, TX;Temple;Bell County",76501,TX,"Killeen-Temple, TX",Temple,Bell County
61212,zip,"8852;NJ;New York-Newark-Jersey City, NY-NJ-PA;Monmouth Junction;Middlesex County",08852,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth Junction,Middlesex County
89504,zip,"72364;AR;Memphis, TN-MS-AR;Marion;Crittenden County",72364,AR,"Memphis, TN-MS-AR",Marion,Crittenden County
97883,zip,"94945;CA;San Francisco-Oakland-Berkeley, CA;Novato;Marin County",94945,CA,"San Francisco-Oakland-Berkeley, CA",Novato,Marin County
70946,zip,"30179;GA;Atlanta-Sandy Springs-Alpharetta, GA;Temple;Carroll County",30179,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Temple,Carroll County
74726,zip,"38237;TN;Martin, TN;Martin;Weakley County",38237,TN,"Martin, TN",Martin,Weakley County
92205,zip,"78015;TX;San Antonio-New Braunfels, TX;Fair Oaks Ranch;Bexar County",78015,TX,"San Antonio-New Braunfels, TX",Fair Oaks Ranch,Bexar County
63963,zip,"15232;PA;Pittsburgh, PA;Pittsburgh;Allegheny County",15232,PA,"Pittsburgh, PA",Pittsburgh,Allegheny County
77693,zip,"45502;OH;Springfield, OH;Springfield;Clark County",45502,OH,"Springfield, OH",Springfield,Clark County
60927,zip,"8033;NJ;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD;Haddonfield;Camden County",08033,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Haddonfield,Camden County
62663,zip,"12561;NY;Kingston, NY;New Paltz;Ulster County",12561,NY,"Kingston, NY",New Paltz,Ulster County
79133,zip,"48323;MI;Detroit-Warren-Dearborn, MI;Orchard Lake;Oakland County",48323,MI,"Detroit-Warren-Dearborn, MI",Orchard Lake,Oakland County
72452,zip,"33149;FL;Miami-Fort Lauderdale-Pompano Beach, FL;Key Biscayne;Miami-Dade County",33149,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Key Biscayne,Miami-Dade County
63830,zip,"15009;PA;Pittsburgh, PA;Beaver;Beaver County",15009,PA,"Pittsburgh, PA",Beaver,Beaver County
63632,zip,"14611;NY;Rochester, NY;Rochester;Monroe County",14611,NY,"Rochester, NY",Rochester,Monroe County
96586,zip,"92014;CA;San Diego-Chula Vista-Carlsbad, CA;San Diego;San Diego County",92014,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,San Diego County
96129,zip,"90293;CA;Los Angeles-Long Beach-Anaheim, CA;Los Angeles;Los Angeles County",90293,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,Los Angeles County
95911,zip,"89433;NV;Reno, NV;Sun Valley;Washoe County",89433,NV,"Reno, NV",Sun Valley,Washoe County
70561,zip,"29572;SC;Myrtle Beach-Conway-North Myrtle Beach, SC-NC;Myrtle Beach;Horry County",29572,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Myrtle Beach,Horry County
74775,zip,"38343;TN;Jackson, TN;Humboldt;Gibson County",38343,TN,"Jackson, TN",Humboldt,Gibson County
73376,zip,"35206;AL;Birmingham-Hoover, AL;Birmingham;Jefferson County",35206,AL,"Birmingham-Hoover, AL",Birmingham,Jefferson County
61199,zip,"8830;NJ;New York-Newark-Jersey City, NY-NJ-PA;Iselin;Middlesex County",08830,NJ,"New York-Newark-Jersey City, NY-NJ-PA",Iselin,Middlesex County
67160,zip,"22124;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV;Oakton;Fairfax County",22124,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Oakton,Fairfax County
61079,zip,"8406;NJ;Atlantic City-Hammonton, NJ;Ventnor City;Atlantic County",08406,NJ,"Atlantic City-Hammonton, NJ",Ventnor City,Atlantic County
93821,zip,"81623;CO;Glenwood Springs, CO;Carbondale;Garfield County",81623,CO,"Glenwood Springs, CO",Carbondale,Garfield County
66245,zip,"20151;VA;Washington-Arlington-Alexandria, DC-VA-MD-WV;Chantilly;Fairfax County",20151,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Chantilly,Fairfax County
81634,zip,"54241;WI;Manitowoc, WI;Two Rivers;Manitowoc County",54241,WI,"Manitowoc, WI",Two Rivers,Manitowoc County
82159,zip,"55306;MN;Minneapolis-St. Paul-Bloomington, MN-WI;Burnsville;Dakota County",55306,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Burnsville,Dakota County
70670,zip,"29693;SC;Seneca, SC;Westminster;Oconee County",29693,SC,"Seneca, SC",Westminster,Oconee County
