region_id,region_type,Metro_Name,State
395027,metro,Roanoke Rapids,NC
394587,metro,Farmington,MO
394897,metro,Muskogee,OK
395087,metro,Seymour,IN
394426,metro,Burley,ID
394548,metro,Durant,OK
394883,metro,Moultrie,GA
394398,metro,Bogalusa,LA
394891,metro,Mountain Home,AR
394624,metro,Gainesville,TX
395158,metro,Tifton,GA
394845,metro,McMinnville,TN
394341,metro,Astoria,OR
394409,metro,Bradford,PA
394574,metro,Espa-Â¦ola,NM
395072,metro,Scottsbluff,NE
394914,metro,Newberry,SC
394799,metro,Lock Haven,PA
394451,metro,Centralia,IL
394554,metro,Easton,MD
394948,metro,Owatonna,MN
394826,metro,Marion,IN
394586,metro,Faribault,MN
395021,metro,Richmond,IN
394829,metro,Marquette,MI
394338,metro,Asheville,NC
395244,metro,York,PA
395183,metro,Vallejo,CA
394370,metro,Bay City,TX
394920,metro,North Platte,NE
394973,metro,Peru,IN
394922,metro,North Wilkesboro,NC
394885,metro,Mount Pleasant,MI
395024,metro,Rio Grande City,TX
395028,metro,Roanoke,VA
394827,metro,Marion,OH
394705,metro,Indianapolis,IN
394475,metro,Cleveland,OH
395059,metro,San Jose,CA
394902,metro,Nashville,TN
394388,metro,Birmingham,AL
394912,metro,New Ulm,MN
394791,metro,Lexington,NE
394643,metro,Great Bend,KS
395110,metro,Spearfish,SD
395214,metro,Wauchula,FL
394830,metro,Marshall,MN
394529,metro,Deming,NM
394854,metro,Mexico,MO
394322,metro,Altus,OK
753884,metro,Hailey,ID
753921,metro,Steamboat Springs,CO
395138,metro,Summerville,GA
394869,metro,Moberly,MO
394858,metro,Middlesborough,KY
395236,metro,Woodward,OK
395160,metro,Toledo,OH
394780,metro,Lawton,OK
394474,metro,Cleveland,TN
395098,metro,Sierra Vista,AZ
394325,metro,Ames,IA
394824,metro,Mansfield,OH
395128,metro,Staunton,VA
394353,metro,Augusta,ME
395195,metro,Visalia,CA
753908,metro,Othello,WA
753925,metro,Vineyard Haven,MA
394996,metro,Portales,NM
394805,metro,Los Alamos,NM
395112,metro,Spirit Lake,IA
394594,metro,Fitzgerald,GA
753927,metro,Winnemucca,NV
394332,metro,Ann Arbor,MI
394458,metro,Charlotte,NC
395055,metro,San Antonio,TX
394998,metro,Portland,OR
394466,metro,Cincinnati,OH
394355,metro,Austin,TX
394775,metro,Las Vegas,NV
394735,metro,Kansas City,MO
394492,metro,Columbus,OH
394631,metro,Gillette,WY
395136,metro,Sturgis,MI
395044,metro,Rutland,VT
394591,metro,Fergus Falls,MN
394565,metro,Elkhart,IN
394726,metro,Johnson City,TN
394716,metro,Jacksonville,NC
394680,metro,Hilo,HI
395162,metro,Torrington,CT
395009,metro,Punta Gorda,FL
394766,metro,Lakeland,FL
394913,metro,New York,NY
394931,metro,Ogden,UT
394551,metro,Eagle Pass,TX
394432,metro,Calhoun,GA
753877,metro,Cullowhee,NC
394737,metro,Kearney,NE
394582,metro,Fairmont,WV
394940,metro,Ontario,OR
394621,metro,Gaffney,SC
394977,metro,Picayune,MS
395131,metro,Sterling,IL
394549,metro,Durham,NC
394808,metro,Lubbock,TX
395179,metro,Utica,NY
395103,metro,Sioux Falls,SD
