region_id,region_type,region,County Name,State,Metro Area
743,county,"Teton County;ID;Jackson, WY-ID",Teton County,ID,"Jackson, WY-ID"
1454,county,Valley County;ID;nan,Valley County,ID,
1012,county,Fergus County;MT;nan,Fergus County,MT,
694,county,"Ralls County;MO;Hannibal, MO",Ralls County,MO,"Hannibal, MO"
3091,county,"Clear Creek County;CO;Denver-Aurora-Lakewood, CO",Clear Creek County,CO,"Denver-Aurora-Lakewood, CO"
1906,county,Madison County;MT;nan,Madison County,MT,
3022,county,San Miguel County;CO;nan,San Miguel County,CO,
3000,county,Pocahontas County;WV;nan,Pocahontas County,WV,
140,county,Cook County;MN;nan,Cook County,MN,
665,county,"Ouray County;CO;Montrose, CO",Ouray County,CO,"Montrose, CO"
828,county,Alpine County;CA;nan,Alpine County,CA,
3101,county,"Los Angeles County;CA;Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,CA,"Los Angeles-Long Beach-Anaheim, CA"
139,county,"Cook County;IL;Chicago-Naperville-Elgin, IL-IN-WI",Cook County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
1090,county,"Harris County;TX;Houston-The Woodlands-Sugar Land, TX",Harris County,TX,"Houston-The Woodlands-Sugar Land, TX"
2402,county,"Maricopa County;AZ;Phoenix-Mesa-Chandler, AZ",Maricopa County,AZ,"Phoenix-Mesa-Chandler, AZ"
2841,county,"San Diego County;CA;San Diego-Chula Vista-Carlsbad, CA",San Diego County,CA,"San Diego-Chula Vista-Carlsbad, CA"
1286,county,"Orange County;CA;Los Angeles-Long Beach-Anaheim, CA",Orange County,CA,"Los Angeles-Long Beach-Anaheim, CA"
581,county,"Kings County;NY;New York-Newark-Jersey City, NY-NJ-PA",Kings County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
2964,county,"Miami-Dade County;FL;Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
978,county,"Dallas County;TX;Dallas-Fort Worth-Arlington, TX",Dallas County,TX,"Dallas-Fort Worth-Arlington, TX"
2832,county,"Riverside County;CA;Riverside-San Bernardino-Ontario, CA",Riverside County,CA,"Riverside-San Bernardino-Ontario, CA"
1347,county,"Queens County;NY;New York-Newark-Jersey City, NY-NJ-PA",Queens County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
207,county,"King County;WA;Seattle-Tacoma-Bellevue, WA",King County,WA,"Seattle-Tacoma-Bellevue, WA"
445,county,"Clark County;NV;Las Vegas-Henderson-Paradise, NV",Clark County,NV,"Las Vegas-Henderson-Paradise, NV"
3250,county,"San Bernardino County;CA;Riverside-San Bernardino-Ontario, CA",San Bernardino County,CA,"Riverside-San Bernardino-Ontario, CA"
2049,county,"Tarrant County;TX;Dallas-Fort Worth-Arlington, TX",Tarrant County,TX,"Dallas-Fort Worth-Arlington, TX"
386,county,"Bexar County;TX;San Antonio-New Braunfels, TX",Bexar County,TX,"San Antonio-New Braunfels, TX"
3136,county,"Santa Clara County;CA;San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,CA,"San Jose-Sunnyvale-Santa Clara, CA"
1561,county,"Broward County;FL;Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
791,county,"Wayne County;MI;Detroit-Warren-Dearborn, MI",Wayne County,MI,"Detroit-Warren-Dearborn, MI"
1510,county,"Alameda County;CA;San Francisco-Oakland-Berkeley, CA",Alameda County,CA,"San Francisco-Oakland-Berkeley, CA"
2452,county,"New York County;NY;New York-Newark-Jersey City, NY-NJ-PA",New York County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
2801,county,"Middlesex County;MA;Boston-Cambridge-Newton, MA-NH",Middlesex County,MA,"Boston-Cambridge-Newton, MA-NH"
3175,county,"Philadelphia County;PA;Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
3017,county,"Sacramento County;CA;Sacramento-Roseville-Folsom, CA",Sacramento County,CA,"Sacramento-Roseville-Folsom, CA"
2046,county,"Suffolk County;NY;New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
2993,county,"Palm Beach County;FL;Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,FL,"Miami-Fort Lauderdale-Pompano Beach, FL"
401,county,"Bronx County;NY;New York-Newark-Jersey City, NY-NJ-PA",Bronx County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
3165,county,"Hillsborough County;FL;Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,FL,"Tampa-St. Petersburg-Clearwater, FL"
1287,county,"Orange County;FL;Orlando-Kissimmee-Sanford, FL",Orange County,FL,"Orlando-Kissimmee-Sanford, FL"
