region_id,region_type,county,state,metro_area
2742,county,Jefferson County,KY,"Louisville/Jefferson County, KY-IN"
3134,county,San Joaquin County,CA,"Stockton, CA"
135,county,Cobb County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
2842,county,San Mateo County,CA,"San Francisco-Oakland-Berkeley, CA"
984,county,Dekalb County,GA,"Atlanta-Sandy Springs-Alpharetta, GA"
1223,county,Monroe County,NY,"Rochester, NY"
80,county,Lee County,FL,"Cape Coral-Fort Myers, FL"
1689,county,El Paso County,CO,"Colorado Springs, CO"
1948,county,Norfolk County,MA,"Boston-Cambridge-Newton, MA-NH"
220,county,Lake County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
1804,county,Jackson County,MO,"Kansas City, MO-KS"
285,county,Polk County,FL,"Lakeland-Winter Haven, FL"
1106,county,Hudson County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2243,county,Davidson County,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN"
989,county,Denver County,CO,"Denver-Aurora-Lakewood, CO"
330,county,Will County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
3289,county,District of Columbia,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2732,county,Jefferson County,AL,"Birmingham-Hoover, AL"
757,county,Tulsa County,OK,"Tulsa, OK"
3001,county,Providence County,RI,"Providence-Warwick, RI-MA"
201,county,Kent County,MI,"Grand Rapids-Kentwood, MI"
2127,county,Arapahoe County,CO,"Denver-Aurora-Lakewood, CO"
322,county,Utah County,UT,"Provo-Orem, UT"
414,county,Bucks County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
659,county,Ocean County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2983,county,Montgomery County,TX,"Houston-The Woodlands-Sugar Land, TX"
1556,county,Brevard County,FL,"Palm Bay-Melbourne-Titusville, FL"
3081,county,Williamson County,TX,"Austin-Round Rock-Georgetown, TX"
3152,county,Anne Arundel County,MD,"Baltimore-Columbia-Towson, MD"
2734,county,Jefferson County,CO,"Denver-Aurora-Lakewood, CO"
1558,county,Bristol County,MA,"Providence-Warwick, RI-MA"
157,county,Erie County,NY,"Buffalo-Cheektowaga, NY"
2251,county,Delaware County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
771,county,Union County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2986,county,New Castle County,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
146,county,Dane County,WI,"Madison, WI"
669,county,Pasco County,FL,"Tampa-St. Petersburg-Clearwater, FL"
2776,county,Lancaster County,PA,"Lancaster, PA"
2063,county,Volusia County,FL,"Deltona-Daytona Beach-Ormond Beach, FL"
1404,county,Summit County,OH,"Akron, OH"
2312,county,Guilford County,NC,"Greensboro-High Point, NC"
2980,county,Montgomery County,OH,"Dayton-Kettering, OH"
1611,county,Chester County,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
2033,county,Spokane County,WA,"Spokane-Spokane Valley, WA"
2482,county,Plymouth County,MA,"Boston-Cambridge-Newton, MA-NH"
911,county,Camden County,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
1964,county,Passaic County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2537,county,Sedgwick County,KS,"Wichita, KS"
197,county,Kane County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
448,county,Clark County,WA,"Portland-Vancouver-Hillsboro, OR-WA"
2511,county,Richmond County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
287,county,Polk County,IA,"Des Moines-West Des Moines, IA"
1485,county,Washoe County,NV,"Reno, NV"
3247,county,Prince William County,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
215,county,Knox County,TN,"Knoxville, TN"
2465,county,Onondaga County,NY,"Syracuse, NY"
1442,county,Tulare County,CA,"Visalia, CA"
2538,county,Seminole County,FL,"Orlando-Kissimmee-Sanford, FL"
2896,county,Burlington County,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
3286,county,Virginia Beach City,VA,"Virginia Beach-Norfolk-Newport News, VA-NC"
3266,county,East Baton Rouge Parish,LA,"Baton Rouge, LA"
343,county,York County,PA,"York-Hanover, PA"
3229,county,Santa Barbara County,CA,"Santa Maria-Santa Barbara, CA"
2743,county,Jefferson Parish,LA,"New Orleans-Metairie, LA"
2444,county,Monterey County,CA,"Salinas, CA"
971,county,Dakota County,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
616,county,Lucas County,OH,"Toledo, OH"
2528,county,Sarasota County,FL,"North Port-Sarasota-Bradenton, FL"
385,county,Berks County,PA,"Reading, PA"
685,county,Pinal County,AZ,"Phoenix-Mesa-Chandler, AZ"
3166,county,Hillsborough County,NH,"Manchester-Nashua, NH"
1585,county,Cameron County,TX,"Brownsville-Harlingen, TX"
2661,county,Clackamas County,OR,"Portland-Vancouver-Hillsboro, OR-WA"
2507,county,Richland County,SC,"Columbia, SC"
1208,county,Mobile County,AL,"Mobile, AL"
1887,county,Loudoun County,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
1721,county,Genesee County,MI,"Flint, MI"
2596,county,Waukesha County,WI,"Milwaukee-Waukesha, WI"
2897,county,Charleston County,SC,"Charleston-North Charleston, SC"
3223,county,Saint Charles County,MO,"St. Louis, MO-IL"
1325,county,Placer County,CA,"Sacramento-Roseville-Folsom, CA"
1290,county,Orange County,NY,"Poughkeepsie-Newburgh-Middletown, NY"
1981,county,Pulaski County,AR,"Little Rock-North Little Rock-Conway, AR"
1916,county,Manatee County,FL,"North Port-Sarasota-Bradenton, FL"
904,county,Butler County,OH,"Cincinnati, OH-KY-IN"
1201,county,Mercer County,NJ,"Trenton-Princeton, NJ"
1953,county,Orleans Parish,LA,"New Orleans-Metairie, LA"
1894,county,Madison County,AL,"Huntsville, AL"
1712,county,Forsyth County,NC,"Winston-Salem, NC"
231,county,Lane County,OR,"Eugene-Springfield, OR"
1957,county,Osceola County,FL,"Orlando-Kissimmee-Sanford, FL"
219,county,Lake County,FL,"Orlando-Kissimmee-Sanford, FL"
730,county,Stark County,OH,"Canton-Massillon, OH"
1638,county,Collier County,FL,"Naples-Marco Island, FL"
1146,county,Lehigh County,PA,"Allentown-Bethlehem-Easton, PA-NJ"
2151,county,Brazoria County,TX,"Houston-The Woodlands-Sugar Land, TX"
98,county,Bell County,TX,"Killeen-Temple, TX"
2323,county,Hamilton County,TN,"Chattanooga, TN-GA"
373,county,Anoka County,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3158,county,Chesterfield County,VA,"Richmond, VA"
470,county,Davis County,UT,"Ogden-Clearfield, UT"
3200,county,Westmoreland County,PA,"Pittsburgh, PA"
1849,county,Larimer County,CO,"Fort Collins, CO"
1272,county,Nueces County,TX,"Corpus Christi, TX"
1670,county,Douglas County,CO,"Denver-Aurora-Lakewood, CO"
2702,county,Galveston County,TX,"Houston-The Woodlands-Sugar Land, TX"
563,county,Horry County,SC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
1171,county,Marion County,OR,"Salem, OR"
2552,county,Somerset County,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
2318,county,Hamilton County,IN,"Indianapolis-Carmel-Anderson, IN"
2515,county,Rockland County,NY,"New York-Newark-Jersey City, NY-NJ-PA"
3016,county,Rutherford County,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN"
2912,county,Cumberland County,NC,"Fayetteville, NC"
1771,county,Henrico County,VA,"Richmond, VA"
1101,county,Howard County,MD,"Baltimore-Columbia-Towson, MD"
1549,county,Boulder County,CO,"Boulder, CO"
3131,county,Saint Lucie County,FL,"Port St. Lucie, FL"
1893,county,Luzerne County,PA,"Scranton--Wilkes-Barre, PA"
3141,county,Spartanburg County,SC,"Spartanburg, SC"
329,county,Weld County,CO,"Greeley, CO"
1701,county,Fayette County,KY,"Lexington-Fayette, KY"
999,county,Durham County,NC,"Durham-Chapel Hill, NC"
2259,county,Escambia County,FL,"Pensacola-Ferry Pass-Brent, FL"
823,county,Albany County,NY,"Albany-Schenectady-Troy, NY"
3013,county,Rockingham County,NH,"Boston-Cambridge-Newton, MA-NH"
1150,county,Lorain County,OH,"Cleveland-Elyria, OH"
3112,county,Northampton County,PA,"Allentown-Bethlehem-Easton, PA-NJ"
1922,county,McHenry County,IL,"Chicago-Naperville-Elgin, IL-IN-WI"
1891,county,Lubbock County,TX,"Lubbock, TX"
3269,county,Saint Louis City,MO,"St. Louis, MO-IL"
2911,county,Cumberland County,ME,"Portland-South Portland, ME"
2929,county,Gloucester County,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
1057,county,Greene County,MO,"Springfield, MO"
2255,county,Dutchess County,NY,"Poughkeepsie-Newburgh-Middletown, NY"
1608,county,Chatham County,GA,"Savannah, GA"
