region_id,region_type,zipcode,state,metro_area,city,county
95974,zip,89828, NV," Elko, NV", Elko County, Lamoille
89765,zip,72824, AR," Russellville, AR", Yell County, Belleville
92762,zip,79009, TX, Parmer County, Bovina,
73904,zip,36518, AL," Mobile, AL", Washington County, Chatom
85690,zip,62816, IL," Mount Vernon, IL", Jefferson County, Bonnie
89626,zip,72550, AR," Batesville, AR", Independence County, Batesville
89200,zip,71765, AR," El Dorado, AR", Union County, Strong
92490,zip,78540, TX, McAllen-Edinburg-Mission, Hidalgo County, Edinburg
74043,zip,36776, AL," Tuscaloosa, AL", Hale County, Sawyerville
85718,zip,62846, IL," Mount Vernon, IL", Jefferson County, Ina
59511,zip,04460, ME," Bangor, ME", Penobscot County, Medway
89224,zip,71841, AR, Sevier County, Gillham,
65602,zip,18826, PA, Susquehanna County, Kingsley,
89182,zip,71740, AR," Magnolia, AR", Columbia County, Emerson
95759,zip,89020, NV," Pahrump, NV", Nye County, Beatty
99256,zip,97406, OR," Brookings, OR", Curry County,
89286,zip,71973, AR, Polk County, Wickes,
88799,zip,70780, LA," Baton Rouge, LA", Iberville Parish, Sunshine
89187,zip,71747, AR," El Dorado, AR", Union County,
89326,zip,72041, AR, Prairie County, De Valls Bluff,
99805,zip,98439, WA, Seattle-Tacoma-Bellevue, Pierce County, Lakewood
73688,zip,36017, AL," Eufaula, AL-GA", Barbour County, Clio
94101,zip,83286, ID," Logan, UT-ID", Franklin County, Weston
64522,zip,16255, PA, Clarion County, Sligo,
85530,zip,62515, IL," Springfield, IL", Sangamon County, Buffalo
59634,zip,04732, ME, Aroostook County, Ashland,
63625,zip,14604, NY, Rochester, Monroe County,
69517,zip,27818, NC, Hertford County, Como,
63214,zip,13655, NY, Malone, Franklin County, Town Of Bombay
75031,zip,38848, MS, Monroe County, Greenwood Springs,
83432,zip,57760, SD, Butte County, Newell,
95422,zip,87549, NM," Espa-ola, NM", Rio Arriba County, Medanales
64330,zip,15829, PA, Jefferson County, Summerville,
81196,zip,53078, WI," Beaver Dam, WI", Dodge County, Rubicon
89236,zip,71858, AR," Hope, AR", Nevada County, Rosston
93605,zip,80930, CO," Colorado Springs, CO", El Paso County,
89343,zip,72063, AR, Conway County, Hattieville,
59403,zip,04238, ME, Oxford County, Hebron,
89423,zip,72168, AR," Pine Bluff, AR", Jefferson County, Sherrill
92495,zip,78548, TX," Rio Grande City-Roma, TX", Starr County, Grulla
69916,zip,28392, NC, Bladen County, Tar Heel,
65615,zip,18844, PA, Susquehanna County, Springville,
68195,zip,24534, VA, Halifax County, Clover,
92201,zip,78011, TX," San Antonio-New Braunfels, TX", Atascosa County, Charlotte
73708,zip,36040, AL," Montgomery, AL", Lowndes County, Mosses
89277,zip,71962, AR," Arkadelphia, AR", Clark County, Okolona
58095,zip,00772, OH, Pike County, Waverly,
94624,zip,84642, UT, Sanpete County, Manti,
89615,zip,72534, AR," Batesville, AR", Independence County, Floral
95391,zip,87511, NM," Espa-ola, NM", Rio Arriba County, Espanola
75003,zip,38774, MS," Cleveland, MS", Bolivar County, Shelby
73847,zip,36362, AL, Enterprise, Coffee County, Fort Rucker
89821,zip,72938, AR," Fort Smith, AR-OK", Sebastian County, Hartford
95311,zip,87116, NM, Albuquerque, Bernalillo County, South Valley
89581,zip,72466, AR," Batesville, AR", Sharp County, Smithville
91507,zip,76635, TX, Limestone County, Coolidge,
89518,zip,72384, AR," Memphis, TN-MS-AR", Crittenden County,
86245,zip,63932, MO," Poplar Bluff, MO", Butler County, Broseley
94004,zip,82925, WY, Sublette County, Cora,
70309,zip,29111, SC," Sumter, SC", Clarendon County, Kingstree
94373,zip,84001, UT, Duchesne County,,
58266,zip,01101, MA, Springfield, Hampden County,
89349,zip,72069, AR, Monroe County, Holly Grove,
83214,zip,57311, SD," Mitchell, SD", Hanson County,
86262,zip,63953, MO," Poplar Bluff, MO", Ripley County, Naylor
88986,zip,71259, LA, Richland Parish, Rayville,
86253,zip,63940, MO," Poplar Bluff, MO", Butler County, Fisk
97190,zip,93258, CA, Visalia-Porterville, Tulare County, Tulare
89275,zip,71960, AR, Montgomery County, Norman,
89261,zip,71941, AR," Malvern, AR", Hot Spring County,
89312,zip,72027, AR, Conway County, Center Ridge,
73889,zip,36480, AL, Monroe County, Uriah,
417446,zip,85172, AZ," Phoenix-Mesa-Chandler, AZ", Pinal County, Stanfield
64811,zip,16923, PA, Potter County, Genesee,
92386,zip,78330, TX," Corpus Christi, TX", Nueces County, Agua Dulce
89575,zip,72459, AR, Lawrence County, Ravenden,
60402,zip,06702, CT, New Haven-Milford, New Haven County, Waterbury
89514,zip,72376, AR," Memphis, TN-MS-AR", Crittenden County,
89777,zip,72839, AR, Johnson County, Hagarville,
94548,zip,84331, UT," Ogden-Clearfield, UT", Box Elder County, Portage
69604,zip,27922, NC, Hertford County, Cofield,
