region_id,region_type,city,state,metro_area,county
34278,city,Thousand Oaks,CA,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County
26751,city,Richmond,CA,"San Francisco-Oakland-Berkeley, CA",Contra Costa County
7191,city,Spartanburg,SC,"Spartanburg, SC",Spartanburg County
17133,city,Bowling Green,KY,"Bowling Green, KY",Warren County
4679,city,Falls Church,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County
39420,city,Lewisville,TX,"Dallas-Fort Worth-Arlington, TX",Denton County
7680,city,Vero Beach,FL,"Sebastian-Vero Beach, FL",Indian River County
16992,city,Berkeley,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County
17008,city,Bethlehem,PA,"Allentown-Bethlehem-Easton, PA-NJ",Northampton County
17882,city,East Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
35593,city,Laurel,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County
18053,city,Fairfield,CA,"Vallejo, CA",Solano County
11914,city,Hillsboro,OR,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
48293,city,Waco,TX,"Waco, TX",McLennan County
5772,city,Manchester,NH,"Manchester-Nashua, NH",Hillsborough County
38032,city,Costa Mesa,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County
13712,city,Santa Barbara,CA,"Santa Maria-Santa Barbara, CA",Santa Barbara County
13554,city,Rock Hill,SC,"Charlotte-Concord-Gastonia, NC-SC",York County
34671,city,Waterbury,CT,"New Haven-Milford, CT",New Haven County
16818,city,Ashburn,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Loudoun County
16780,city,Antioch,CA,"San Francisco-Oakland-Berkeley, CA",Contra Costa County
32287,city,Kennesaw,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County
26575,city,Pompano Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
13698,city,San Leandro,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County
45732,city,Hesperia,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County
32615,city,Lynnwood,WA,"Seattle-Tacoma-Bellevue, WA",Snohomish County
27228,city,Springfield,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County
24336,city,Dearborn,MI,"Detroit-Warren-Dearborn, MI",Wayne County
396054,city,Burbank,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
3568,city,Baytown,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County
11049,city,Davie,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
16839,city,Auburn,WA,"Seattle-Tacoma-Bellevue, WA",King County
41629,city,West Chester,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County
19903,city,Peoria,IL,"Peoria, IL",Peoria County
25855,city,Merced,CA,"Merced, CA",Merced County
33714,city,Rockville,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County
32563,city,Longmont,CO,"Boulder, CO",Boulder County
13709,city,Sandy Springs,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County
53360,city,Missouri City,TX,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County
45383,city,Gaithersburg,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County
17386,city,Chapel Hill,NC,"Durham-Chapel Hill, NC",Orange County
48573,city,Woodstock,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County
31163,city,Daly City,CA,"San Francisco-Oakland-Berkeley, CA",San Mateo County
781837,city,Jurupa Valley,CA,"Riverside-San Bernardino-Ontario, CA",Riverside County
39097,city,Idaho Falls,ID,"Idaho Falls, ID",Bonneville County
40574,city,Rio Rancho,NM,"Albuquerque, NM",Sandoval County
50741,city,Apopka,FL,"Orlando-Kissimmee-Sanford, FL",Orange County
39452,city,Lithonia,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County
44328,city,Brockton,MA,"Boston-Cambridge-Newton, MA-NH",Plymouth County
27942,city,Wichita Falls,TX,"Wichita Falls, TX",Clay County
33334,city,Parker,CO,"Denver-Aurora-Lakewood, CO",Douglas County
33645,city,Rialto,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County
54219,city,Roswell,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County
23862,city,Bryan,TX,"College Station-Bryan, TX",Brazos County
52839,city,Lafayette,IN,"Lafayette-West Lafayette, IN",Tippecanoe County
45255,city,Federal Way,WA,"Seattle-Tacoma-Bellevue, WA",King County
37933,city,Clinton Township,MI,"Detroit-Warren-Dearborn, MI",Macomb County
32452,city,Lawrence,KS,"Lawrence, KS",Douglas County
31543,city,Fayetteville,AR,"Fayetteville-Springdale-Rogers, AR",Washington County
52179,city,Gastonia,NC,"Charlotte-Concord-Gastonia, NC-SC",Gaston County
54089,city,Redmond,WA,"Seattle-Tacoma-Bellevue, WA",King County
10917,city,Columbia,MD,"Baltimore-Columbia-Towson, MD",Howard County
52747,city,Kennewick,WA,"Kennewick-Richland, WA",Benton County
16425,city,Acworth,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County
46183,city,Lawton,OK,"Lawton, OK",Comanche County
4042,city,Champaign,IL,"Champaign-Urbana, IL",Champaign County
17472,city,Clermont,FL,"Orlando-Kissimmee-Sanford, FL",Lake County
46348,city,Lynchburg,VA,"Lynchburg, VA",Campbell County
6932,city,Sandy,UT,"Salt Lake City, UT",Salt Lake County
20128,city,Redwood City,CA,"San Francisco-Oakland-Berkeley, CA",San Mateo County
38529,city,Fishers,IN,"Indianapolis-Carmel-Anderson, IN",Hamilton County
17309,city,Carmel,IN,"Indianapolis-Carmel-Anderson, IN",Hamilton County
32540,city,Livermore,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County
37736,city,Canton,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County
34308,city,Tomball,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County
31612,city,Fort Mill,SC,"Charlotte-Concord-Gastonia, NC-SC",York County
39398,city,Lees Summit,MO,"Kansas City, MO-KS",Jackson County
53978,city,Portsmouth,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Portsmouth City
33058,city,New Bedford,MA,"Providence-Warwick, RI-MA",Bristol County
30552,city,Bowie,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County
40737,city,San Marcos,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
38992,city,Highlands Ranch,CO,"Denver-Aurora-Lakewood, CO",Douglas County
39071,city,Humble,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County
46325,city,Loveland,CO,"Fort Collins, CO",Larimer County
44641,city,Cleveland,TN,"Cleveland, TN",Bradley County
40919,city,Simpsonville,SC,"Greenville-Anderson, SC",Greenville County
44571,city,Cheyenne,WY,"Cheyenne, WY",Laramie County
397836,city,Middletown Township, NJ, New York-Newark-Jersey City, Monmouth County
54902,city,Valdosta,GA,"Valdosta, GA",Lowndes County
33801,city,Saint George,UT,"St. George, UT",Washington County
47762,city,South Gate,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
31892,city,Gulfport,MS,"Gulfport-Biloxi, MS",Harrison County
33450,city,Plantation,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
41109,city,Suffolk,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Suffolk City
38583,city,Fort Smith,AR,"Fort Smith, AR-OK",Sebastian County
20776,city,Terre Haute,IN,"Terre Haute, IN",Vigo County
397329,city,Holland,MI,"Grand Rapids-Kentwood, MI",Ottawa County
13366,city,Port Charlotte,FL,"Punta Gorda, FL",Charlotte County
26964,city,Santa Monica,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
18329,city,Goodyear,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County
5470,city,Lacey,WA,"Olympia-Lacey-Tumwater, WA",Thurston County
24307,city,Dallas,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County
17040,city,Bismarck,ND,"Bismarck, ND",Burleigh County
45449,city,Glen Burnie,MD,"Baltimore-Columbia-Towson, MD",Anne Arundel County
31525,city,Fall River,MA,"Providence-Warwick, RI-MA",Bristol County
31580,city,Florissant,MO,"St. Louis, MO-IL",Saint Louis County
26366,city,Palm Coast,FL,"Deltona-Daytona Beach-Ormond Beach, FL",Flagler County
16701,city,Albany,GA,"Albany, GA",Dougherty County
53100,city,Macomb,MI,"Detroit-Warren-Dearborn, MI",Macomb County
52333,city,Greenwood,IN,"Indianapolis-Carmel-Anderson, IN",Johnson County
38968,city,Herndon,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County
51758,city,Duluth,MN,"Duluth, MN-WI",Saint Louis County
34780,city,Westminster,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County
51534,city,Conyers,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Rockdale County
737787,city,San Tan Valley,AZ,"Phoenix-Mesa-Chandler, AZ",Pinal County
30236,city,Appleton,WI,"Appleton, WI",Outagamie County
32471,city,Leesburg,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Loudoun County
24359,city,Deltona,FL,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County
52417,city,Harlingen,TX,"Brownsville-Harlingen, TX",Cameron County
31403,city,Ellicott City,MD,"Baltimore-Columbia-Towson, MD",Howard County
24965,city,Greer,SC,"Greenville-Anderson, SC",Greenville County
12886,city,Muncie,IN,"Muncie, IN",Delaware County
41587,city,Waukegan,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County
10451,city,Bloomington,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County
51757,city,Duluth,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
33865,city,Sanford,FL,"Orlando-Kissimmee-Sanford, FL",Seminole County
53415,city,Morgantown,WV,"Morgantown, WV",Monongalia County
12864,city,Mount Pleasant,SC,"Charleston-North Charleston, SC",Charleston County
40013,city,Newton,MA,"Boston-Cambridge-Newton, MA-NH",Middlesex County
27768,city,Warner Robins,GA,"Warner Robins, GA",Houston County
14446,city,Waldorf,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Charles County
34637,city,Walnut Creek,CA,"San Francisco-Oakland-Berkeley, CA",Contra Costa County
4502,city,Easton,PA,"Allentown-Bethlehem-Easton, PA-NJ",Northampton County
6665,city,Quincy,MA,"Boston-Cambridge-Newton, MA-NH",Norfolk County
126423,city,Town 'n' Country,FL,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County
13653,city,Saint Cloud,FL,"Orlando-Kissimmee-Sanford, FL",Osceola County
18765,city,Jonesboro,AR,"Jonesboro, AR",Craighead County
20337,city,San Ramon,CA,"San Francisco-Oakland-Berkeley, CA",Contra Costa County
51414,city,Citrus Heights,CA,"Sacramento-Roseville-Folsom, CA",Sacramento County
46604,city,Mooresville,NC,"Charlotte-Concord-Gastonia, NC-SC",Iredell County
33287,city,Owensboro,KY,"Owensboro, KY",Daviess County
10528,city,Brandon,FL,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County
54944,city,Victoria,TX,"Victoria, TX",Victoria County
17394,city,Charleston,WV,"Charleston, WV",Kanawha County
7476,city,Troy,MI,"Detroit-Warren-Dearborn, MI",Oakland County
46179,city,Lawrence,MA,"Boston-Cambridge-Newton, MA-NH",Essex County
54428,city,Sioux City,IA,"Sioux City, IA-NE-SD",Woodbury County
26222,city,Norwalk,CT,"Bridgeport-Stamford-Norwalk, CT",Fairfield County
5291,city,Iowa City,IA,"Iowa City, IA",Johnson County
3869,city,Buckeye,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County
23742,city,Bloomington,IL,"Bloomington, IL",McLean County
31166,city,Danbury,CT,"Bridgeport-Stamford-Norwalk, CT",Fairfield County
26679,city,Rancho Cordova,CA,"Sacramento-Roseville-Folsom, CA",Sacramento County
31732,city,Germantown,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County
53571,city,Newport Beach,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County
19411,city,Mission,TX,"McAllen-Edinburg-Mission, TX",Hidalgo County
16733,city,Alpharetta,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County
7883,city,Westland,MI,"Detroit-Warren-Dearborn, MI",Wayne County
10226,city,Avondale,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County
44504,city,Cedar Park,TX,"Austin-Round Rock-Georgetown, TX",Williamson County
44597,city,Cicero,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
12214,city,Kirkland,WA,"Seattle-Tacoma-Bellevue, WA",King County
51835,city,Eau Claire,WI,"Eau Claire, WI",Eau Claire County
25066,city,Hattiesburg,MS,"Hattiesburg, MS",Forrest County
34248,city,Temple,TX,"Killeen-Temple, TX",Bell County
4329,city,Deerfield Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
53304,city,Middletown,OH,"Cincinnati, OH-KY-IN",Butler County
41460,city,Valparaiso,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Porter County
37303,city,Battle Creek,MI,"Battle Creek, MI",Calhoun County
10608,city,Buena Park,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County
20535,city,Snellville,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
11087,city,Denham Springs,LA,"Baton Rouge, LA",Livingston Parish
24339,city,Decatur,IL,"Decatur, IL",Macon County
24245,city,Covina,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
7784,city,Watsonville,CA,"Santa Cruz-Watsonville, CA",Santa Cruz County
51239,city,Camarillo,CA,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County
7101,city,Slidell,LA,"New Orleans-Metairie, LA",Saint Tammany Parish
39133,city,Jackson,TN,"Jackson, TN",Madison County
45243,city,Farmington Hills,MI,"Detroit-Warren-Dearborn, MI",Oakland County
50764,city,Arlington Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
27136,city,Smyrna,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County
38004,city,Conway,AR,"Little Rock-North Little Rock-Conway, AR",Faulkner County
55006,city,Wake Forest,NC,"Raleigh-Cary, NC",Wake County
32999,city,Mountain View,CA,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County
17761,city,Des Plaines,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
6365,city,Oviedo,FL,"Orlando-Kissimmee-Sanford, FL",Seminole County
50677,city,Alhambra,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
18025,city,Evanston,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
31093,city,Cranston,RI,"Providence-Warwick, RI-MA",Providence County
14584,city,Westerville,OH,"Columbus, OH",Franklin County
25193,city,Houma,LA,"Houma-Thibodaux, LA",Terrebonne Parish
27512,city,Upland,CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County
21203,city,Wesley Chapel,FL,"Tampa-St. Petersburg-Clearwater, FL",Pasco County
32311,city,Kingsport,TN,"Kingsport-Bristol, TN-VA",Sullivan County
10723,city,Carson,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
33889,city,Schaumburg,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
12292,city,Lakewood,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
20323,city,Salisbury,NC,"Charlotte-Concord-Gastonia, NC-SC",Rowan County
41128,city,Sumter,SC,"Sumter, SC",Sumter County
397383,city,Johns Creek,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County
53585,city,Noblesville,IN,"Indianapolis-Carmel-Anderson, IN",Hamilton County
54759,city,Turlock,CA,"Modesto, CA",Stanislaus County
25841,city,Mechanicsburg,PA,"Harrisburg-Carlisle, PA",Cumberland County
47082,city,Pharr,TX,"McAllen-Edinburg-Mission, TX",Hidalgo County
27491,city,Tustin,CA,"Los Angeles-Long Beach-Anaheim, CA",Orange County
53812,city,Parma,OH,"Cleveland-Elyria, OH",Cuyahoga County
34940,city,Yuba City,CA,"Yuba City, CA",Sutter County
39483,city,Lodi,CA,"Stockton, CA",San Joaquin County
6334,city,Orange Park,FL,"Jacksonville, FL",Clay County
37406,city,Bethesda,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County
