region_id,region_type,city,state,state_region,county,value
8587,city,Huntley,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,269026.40085
46285,city,Lockport,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,241856.17595
55741,city,Highland Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,530429.5192499999
55487,city,Chicago Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,83278.24215
37652,city,Burbank,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,220179.75035
7703,city,Villa Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,253688.40795
21319,city,Wilmette,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,755043.7649999999
48668,city,Antioch,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,206783.8729
25828,city,McHenry,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,210409.3429
28833,city,East Chicago,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,45175.505735
25548,city,Lemont,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,407885.70519999997
6055,city,Morton Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,361087.09404999996
16535,city,Oak Forest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,206973.03505
43240,city,Round Lake Beach,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,129933.5383
55288,city,Yorkville,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,261398.02120000002
11311,city,Elmwood Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,276041.3011
29671,city,Roselle,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,277653.1576
49927,city,Vernon Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,291985.25765000004
23738,city,Bloomingdale,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,310714.48905
36955,city,Rolling Meadows,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,239284.2895
35973,city,Maywood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,97769.326615
396711,city,Highland,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,130185.0749
41825,city,Zion,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,140151.1178
32911,city,Mokena,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,297594.61735
44861,city,Darien,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,314059.1579
27174,city,South Holland,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,155665.15120000002
27164,city,South Elgin,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,232433.47975
35945,city,Matteson,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,186850.46389999997
4446,city,Dyer,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,181920.06315
50414,city,Cary,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,255152.12635
28419,city,Franklin Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,241976.537
31197,city,Deerfield,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,489122.31114999996
51040,city,Blue Island,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,109964.96495
16736,city,Alsip,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,167411.94785
8671,city,Dolton,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,104848.24554999999
45795,city,Homewood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,158396.3654
39811,city,Minooka,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,191450.18455
30611,city,Brookfield,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,265681.38575
11366,city,Evergreen Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,197084.39740000002
20481,city,Shorewood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,253410.21165
31841,city,Grayslake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,248308.74545
16986,city,Bensenville,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,242707.1714
42427,city,Griffith,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,103783.78385
33328,city,Park Forest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,89011.453875
35491,city,Lake Forest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,958459.4135499999
37366,city,Bellwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,124126.87445
43599,city,Bridgeview,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,213263.13355
19987,city,Pleasant Prairie,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,252735.1105
46975,city,Palos Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,230218.51455
11926,city,Hinsdale,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,1007599.757
35766,city,Prospect Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,222845.02
46125,city,Lake Zurich,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,324142.11569999997
22891,city,Saint John,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,219721.33669999999
50540,city,Midlothian,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,135868.058
24269,city,Crete,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,203703.5663
27892,city,Westchester,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,282514.42835
10751,city,Cedar Lake,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,128156.372
6529,city,Plano,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,185166.0588
17622,city,Crest Hill,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,176671.3198
55220,city,Willowbrook,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,230896.3768
5513,city,Lake Villa,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,233769.34645
26165,city,Norridge,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,359942.96495
25109,city,Hickory Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,238104.12774999999
12238,city,La Grange,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,452598.8715
14849,city,Country Club Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,121166.3356
6390,city,Palos Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,305208.06885000004
11475,city,Forest Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,156011.17975
47532,city,Salem,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,179501.1629
36409,city,Warrenville,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,234520.39789999998
14697,city,Wood Dale,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,254913.9821
49397,city,Harvard,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,174199.7389
34876,city,Winnetka,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1459636.6779999998
28425,city,Hazel Crest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,77867.82731
44572,city,Chicago Ridge,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,156248.3242
26169,city,North Aurora,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,238008.50280000002
32352,city,La Grange Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,335167.2975
51202,city,Burr Ridge,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,702556.65975
35727,city,Justice,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,198672.9177
19026,city,Lincolnwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,543163.5044
34773,city,Western Springs,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,635041.9601
41956,city,Chesterton,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Porter County,179999.70685
25726,city,Manhattan,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,229569.08395
7971,city,Winfield,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,336099.60795
12433,city,Long Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,705423.13535
9085,city,Northlake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,202685.46945
396632,city,DeMotte,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Jasper County,136243.1679
41698,city,Whiting,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,75218.53956
25476,city,Lake Station,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,55007.73108
15978,city,Sugar Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,284925.7682
25753,city,Marengo,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,230913.45755
13608,city,Round Lake,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,196751.16345
20191,city,River Forest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,544995.606
39442,city,Lindenhurst,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,224785.31375
29308,city,Wilmington,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,155522.58195
27318,city,Summit,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,156913.40720000002
4045,city,Channahon,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,221699.5148
40782,city,Schiller Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,230267.91615
29979,city,Flossmoor,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,251669.2415
6783,city,Riverdale,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,72356.06826
40958,city,Somers,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,183973.85585
45705,city,Hebron,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Porter County,156022.07504999998
44074,city,Beach Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,193634.39475
16400,city,Lyons,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,170073.06435
52394,city,Hampshire,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,251104.53885
40578,city,River Grove,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,225706.169
16897,city,Barrington Hills,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,890568.47225
28971,city,Palos Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,387072.18505
12053,city,Inverness,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,683120.2589499999
45754,city,Hillside,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,169161.265
56647,city,Worth,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,150957.66924999998
53374,city,Monee,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,235906.539
17624,city,Crestwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,161866.33655
13061,city,Oak Brook,IL,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,704615.4013
