region_id,region_type,region
1906,county,Madison County;MT;nan
3022,county,San Miguel County;CO;nan
3000,county,Pocahontas County;WV;nan
140,county,Cook County;MN;nan
665,county,"Ouray County;CO;Montrose, CO"
828,county,Alpine County;CA;nan
3101,county,"Los Angeles County;CA;Los Angeles-Long Beach-Anaheim, CA"
167449,city,"Haring;MI;Cadillac, MI;Wexford County"
139,county,"Cook County;IL;Chicago-Naperville-Elgin, IL-IN-WI"
343212,neigh,"Morris Park;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Bronx County"
1090,county,"Harris County;TX;Houston-The Woodlands-Sugar Land, TX"
2402,county,"Maricopa County;AZ;Phoenix-Mesa-Chandler, AZ"
194318,neigh,"Dyker Heights;NY;New York-Newark-Jersey City, NY-NJ-PA;New York;Kings County"
411394,neigh,"Wilcox;CO;Denver-Aurora-Lakewood, CO;Broomfield;Broomfield County"
395973,neigh,"Gunbarrel;CO;Boulder, CO;Boulder;Boulder County"
202210,city,"Minerva Park;OH;Columbus, OH;Franklin County"
34851,city,"Williford;AR;Batesville, AR;Sharp County"
50066,city,"Six Lakes;MI;Grand Rapids-Kentwood, MI;Montcalm County"
57319,city,Wolcott;VT;nan;Lamoille County
53879,city,"Phippsburg;ME;Portland-South Portland, ME;Sagadahoc County"
10956,city,"Cornwall;CT;Torrington, CT;Litchfield County"
2841,county,"San Diego County;CA;San Diego-Chula Vista-Carlsbad, CA"
39539,city,"Ludlow Falls;OH;Dayton-Kettering, OH;Miami County"
36513,city,"Saint James City;FL;Cape Coral-Fort Myers, FL;Lee County"
29202,city,Milton;NC;nan;Caswell County
33988,city,"Sidney;IL;Champaign-Urbana, IL;Champaign County"
35041,city,"Arcadia;OH;Findlay, OH;Hancock County"
50116,city,South Coffeyville;OK;nan;Nowata County
37201,city,"Ashley;IN;Auburn, IN;De Kalb County"
48971,city,"Bertha;MN;Fergus Falls, MN;Todd County"
30023,city,"Nellysford;VA;Charlottesville, VA;Nelson County"
24343,city,"Deerfield;MI;Adrian, MI;Lenawee County"
22618,city,"Williamsfield;OH;Ashtabula, OH;Ashtabula County"
44404,city,"Caliente;CA;Bakersfield, CA;Kern County"
31583,city,"Foley;MN;St. Cloud, MN;Benton County"
54401,city,"Shipman;VA;Charlottesville, VA;Nelson County"
44854,city,"Danbury;NH;Concord, NH;Merrimack County"
28120,city,"Cottage Grove;TN;Paris, TN;Henry County"
395927,city,"Windsor;OH;Ashtabula, OH;Ashtabula County"
23743,city,"Bloomington Springs;TN;Cookeville, TN;Jackson County"
9812,city,"Deer Creek;IL;Peoria, IL;Tazewell County"
138310,city,"Fairmont;IL;Chicago-Naperville-Elgin, IL-IN-WI;Will County"
4227,city,"Courtland;CA;Sacramento-Roseville-Folsom, CA;Sacramento County"
268118,neigh,"Downtown;CA;Los Angeles-Long Beach-Anaheim, CA;Los Angeles;Los Angeles County"
5118,city,"Helena;OH;Fremont, OH;Sandusky County"
55829,city,"Houston;OH;Sidney, OH;Shelby County"
44505,city,"Cedar Point;NC;Morehead City, NC;Carteret County"
25988,city,Morris Chapel;TN;nan;Hardin County
4864,city,"Gates;TN;Brownsville, TN;Haywood County"
276113,neigh,"Wolf Creek; TX; Dallas-Fort Worth-Arlington, TX; Dallas County; Dallas"
49799,city,Springfield;AR;nan;Conway County
57177,city,"North Redington Beach;FL;Tampa-St. Petersburg-Clearwater, FL;Pinellas County"
32617,city,"Mabel;MN;Rochester, MN;Fillmore County"
12911,city,National City;MI;nan;Iosco County
44619,city,"Clarks Hill;IN;Lafayette-West Lafayette, IN;Tippecanoe County"
56653,city,Searsmont;ME;nan;Waldo County
17389,city,"Chaptico;MD;California-Lexington Park, MD;Saint Marys County"
41267,city,"Tracys Landing;MD;Baltimore-Columbia-Towson, MD;Anne Arundel County"
24364,city,"Denton;NE;Lincoln, NE;Lancaster County"
33753,city,"Rouses Point;NY;Plattsburgh, NY;Clinton County"
396177,city,"Wilson-Conococheague;MD;Hagerstown-Martinsburg, MD-WV;Washington County"
12736,city,"Mill Neck;NY;New York-Newark-Jersey City, NY-NJ-PA;Nassau County"
25769,city,"Martin;OH;Toledo, OH;Ottawa County"
1286,county,"Orange County;CA;Los Angeles-Long Beach-Anaheim, CA"
581,county,"Kings County;NY;New York-Newark-Jersey City, NY-NJ-PA"
2964,county,"Miami-Dade County;FL;Miami-Fort Lauderdale-Pompano Beach, FL"
978,county,"Dallas County;TX;Dallas-Fort Worth-Arlington, TX"
